X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
-511.487201930897,-577.640728553464,-158.822764015917,-141.306112515566,-111.347832348059,-303.187085388956,-267.256159590137,-75.0447423762349,-93.3785840434549,-226.458631147223
-499.789117928568,-567.201529503554,-148.264610578252,-130.982482866486,-102.211493432546,-293.999314574837,-258.375628498441,-66.0845861119046,-83.9574573875964,-217.694277241419
-489.543309162109,-558.277484391215,-139.19935636695,-122.168708145434,-94.6800593549987,-286.445778449794,-251.179153136173,-58.7602473301166,-76.1374171169906,-210.615355949277
-480.175622062142,-550.296579018808,-131.05416612325,-114.292618588358,-88.1871387036456,-279.961090832908,-245.101175040687,-52.5102945746063,-69.3552711100293,-204.666890660127
-471.451689837906,-543.026155802252,-123.59595120647,-107.121662436632,-82.5041547645001,-274.315392408475,-239.906494471798,-47.1120237617575,-63.3869948773622,-199.628980404351
-463.243614412679,-536.339503838246,-116.698035190543,-100.529543369104,-77.5059384008007,-269.380482743579,-235.457400084088,-42.4473768082829,-58.1137361640021,-195.380066852246
-455.470900003659,-530.156718488005,-110.281069465183,-94.4371116632488,-73.1106698419854,-265.070919156832,-231.656910415898,-38.4430399919849,-53.461935177867,-191.835012080117
-448.078310368532,-524.42251064883,-104.290871020692,-88.7901836583083,-69.2572608272942,-261.322623568836,-228.429756110454,-35.0474344131357,-49.3802716995133,-188.922493045335
-441.025656305166,-519.09597783248,-98.6881892719937,-83.5492985244141,-65.895494819445,-258.083744549908,-225.714855671429,-32.2196794563343,-45.8285619076966,-186.577626073456
-434.282419428296,-514.145245095018,-93.4433083595109,-78.6843203546383,-62.9817283079602,-255.310379286358,-223.461461607271,-29.923576149664,-42.7717473454732,-184.741017085484
-427.824645759829,-509.544407622825,-88.5329190560898,-74.171320435046,-60.4771601938188,-252.964358115328,-221.626590067673,-28.1242516687075,-40.1767168245546,-183.359320267737
-421.633021135508,-505.271681869237,-83.9381730836931,-69.9906521729762,-58.3471630038545,-251.011927675533,-220.17317644625,-26.7865807760109,-38.0110498600129,-182.385438065433
-415.691611939085,-501.308241148618,-79.6434043740555,-66.1257017772115,-56.5609427596761,-249.422871351715,-219.068777446111,-25.8749342160844,-36.2430092669303,-181.778195757804
-409.987004200331,-497.637459849724,-75.6352515366174,-62.562046482134,-55.0912353965387,-248.169893308433,-218.284681581812,-25.3538144907807,-34.8420997040956,-181.50174583029
-404.507693639688,-494.244410055461,-71.9020354807212,-59.2868710097124,-53.9139669961047,-247.228185963451,-217.795300218341,-25.1888693509903,-33.7796605862574,-181.524905946511
-399.243640881069,-491.115517262392,-68.4333077867241,-56.288554223969,-53.0078885712985,-246.575125840639,-217.577735650237,-25.3478361381375,-33.0292415808972,-181.82052902933
-394.185939774006,-488.238317651646,-65.219518960207,-53.5563715797212,-52.3542133430629,-246.190053219017,-217.611454323884,-25.8011708778853,-32.5667314814666,-182.3649399979
-389.326566110654,-485.601280980772,-62.2517746392514,-51.0802785268481,-51.9362780992325,-246.054101725256,-217.878021578366,-26.5223220666473,-32.3703086955362,-183.137445173198
-384.658185532929,-483.193676717564,-59.521658705034,-48.8507519748999,-51.7392399963093,-246.150055309806,-218.360874336381,-27.4877255856542,-32.420292986274,-184.119909922787
-380.174006445615,-481.005469600169,-57.0211084874579,-46.8586744945712,-51.7498124194896,-246.462219563391,-219.045120127887,-28.6766255346712,-32.6989567571859,-185.296397125821
-375.867668087332,-479.027236135419,-54.7423307978561,-45.095250830257,-51.9560389851363,-246.976300947761,-219.917356989504,-30.0708085187038,-33.1903298752361,-186.652858706168
-371.733156591842,-477.250096760474,-52.6777495545679,-43.5519494627079,-52.3471025629448,-247.679291458585,-220.965511559181,-31.6543101710172,-33.8800145463909,-188.176872980638
-367.764743521373,-475.665660257502,-50.8199770664971,-42.2204639612213,-52.9131653435638,-248.559358276324,-222.178693764369,-33.4131279545441,-34.7550165596653,-189.857421289042
-363.956942373647,-474.265978054563,-49.1618020864955,-41.092690082382,-53.6452358195283,-249.605738832058,-223.547066839405,-35.3349572467108,-35.8035941208595,-191.684698126138
-360.30447922569,-473.043506619328,-47.6961887939925,-40.1607152858626,-54.5350587115516,-250.808641945307,-225.061731472884,-37.4089573609464,-37.0151233421807,-193.649949724823
-356.802274162048,-471.991076478106,-46.4162819909337,-39.4168177575516,-55.5750241757517,-252.159155605738,-226.71462288104,-39.6255484413478,-38.3799787645835,-195.745336722692
-353.445430556726,-471.101866601816,-45.3154149568468,-38.8534723108517,-56.7580929891644,-253.64916175778,-228.498419604006,-41.9762373196418,-39.8894272291057,-197.963817168197
-350.229229696862,-470.369383063414,-44.3871175161723,-38.4633607827828,-58.077734796384,-255.27125820872,-230.40646284897,-44.4534692246221,-41.5355335684316,-200.299046681586
-347.149128670166,-469.787441020247,-43.6251228337775,-38.2393848122231,-59.5278768921404,-257.018687567378,-232.43268525742,-47.0505019227456,-43.3110767840817,-202.74529307727
-344.200759878688,-469.35014922071,-43.0233722150486,-38.1746792056189,-61.1028614003014,-258.885272952814,-234.571548046048,-49.7612989994616,-45.2094755476488,-205.297363180147
-341.379930966244,-469.051896377102,-42.5760177281782,-38.2626244554015,-62.7974090771482,-260.865360094509,-236.817985554832,-52.5804393159762,-47.2247220050124,-207.950539932826
