dana,dere,dgri,dmel,dmoj,dper,dpse,dsec,dsim,dvir,dwil,dyak
3,3,3,3,3,3,3,4,1,3,3,3
3,3,3,3,3,2,3,3,4,3,2,3
3,3,3,3,3,3,3,3,2,3,3,3
2,3,2,3,4,3,3,3,3,5,1,3
3,3,3,1,3,3,3,3,3,3,3,3
3,3,2,3,2,3,3,3,3,2,2,5
2,5,2,5,1,1,1,5,4,1,2,5
2,3,3,3,3,1,3,5,2,3,3,3
2,2,6,2,5,2,2,2,2,4,3,2
3,4,4,4,3,2,2,3,2,1,1,5
3,3,2,3,2,3,3,3,3,3,3,3
3,2,6,2,3,2,3,3,2,2,3,3
1,1,4,1,1,8,10,1,2,2,2,1
4,2,1,1,3,5,5,2,2,2,3,4
3,3,3,3,2,3,4,3,2,2,3,3
2,3,4,3,3,3,3,3,3,3,2,2
3,3,3,3,3,2,3,3,2,2,3,3
3,3,3,3,2,3,2,3,3,2,3,3
3,3,3,3,2,2,3,3,3,3,2,3
3,3,3,3,3,2,3,3,1,3,3,3
2,3,3,3,3,3,2,3,2,3,3,3
3,2,2,3,2,2,3,2,3,3,4,4
3,3,3,3,2,2,2,3,3,3,3,3
4,4,3,0,2,2,2,4,3,3,1,4
3,4,2,4,2,2,2,2,3,2,2,4
2,3,2,4,2,3,2,3,3,2,3,3
3,3,3,3,3,2,3,3,1,3,2,3
2,3,3,3,2,2,3,3,3,2,3,3
3,2,3,2,3,2,3,2,2,6,2,2
3,3,2,3,2,3,3,3,3,2,2,3
3,2,1,3,1,4,4,3,3,2,3,3
3,3,1,3,3,4,2,3,3,2,2,3
1,2,2,2,2,7,6,2,2,2,2,2
3,3,3,3,3,2,1,2,2,4,3,3
2,4,3,1,2,4,3,2,3,3,2,3
2,2,6,2,4,2,2,2,2,3,2,3
4,3,1,3,1,2,2,4,4,1,3,4
2,2,6,2,4,2,2,2,2,4,2,2
2,2,3,2,3,2,2,3,3,3,2,4
1,1,1,1,1,9,8,2,2,1,2,2
3,4,2,1,3,2,4,2,1,3,3,3
3,2,3,2,2,3,3,3,2,3,3,2
2,2,2,1,3,2,2,5,4,2,3,3
3,3,2,3,2,2,3,3,1,4,2,3
3,3,3,3,2,2,2,2,3,2,3,3
1,1,0,1,1,7,15,1,1,1,1,1
3,2,3,3,2,3,2,3,2,2,2,3
3,3,1,3,1,3,3,3,3,1,3,3
2,2,3,2,3,4,3,2,1,3,3,2
6,2,4,2,3,1,1,2,1,3,1,4
4,2,3,2,1,2,2,2,4,1,4,3
3,3,2,3,2,3,3,2,2,2,2,3
8,2,1,2,0,3,3,2,2,0,5,2
3,3,3,3,2,2,2,3,3,2,1,3
3,3,2,3,2,2,2,2,2,3,4,2
3,4,1,4,1,1,1,3,5,1,1,5
2,6,2,2,3,3,2,2,1,2,3,2
3,2,3,2,3,3,3,1,3,2,2,2
3,2,1,1,3,3,7,2,2,3,1,1
3,3,2,3,2,1,2,3,2,3,2,3
1,2,1,2,2,6,6,2,2,1,2,2
3,3,1,3,1,2,3,3,3,1,3,3
2,2,3,3,3,1,3,2,2,3,3,2
