dmoj,dgri,dmel,dwil
1,1,1,2
1,0,2,0
1,1,1,1
1,1,1,2
2,2,1,1
1,2,2,1
1,1,2,1
1,2,1,1
2,2,1,1
1,5,1,1
1,1,1,2
1,1,1,1
1,4,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,2
1,1,2,1
1,2,1,1
1,2,1,1
2,2,1,3
1,1,2,1
2,3,1,1
1,1,1,1
1,1,1,4
2,3,1,1
1,0,2,1
2,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,2,1
1,1,1,1
1,1,1,1
1,1,1,1
2,1,1,1
1,1,2,1
2,1,1,1
1,1,2,0
1,2,1,1
1,1,1,1
2,2,1,1
1,1,2,1
1,1,1,1
2,2,1,1
1,1,1,1
1,0,1,1
2,2,1,2
1,1,1,1
1,1,1,1
1,4,1,1
2,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
2,2,1,1
1,1,2,1
1,1,2,1
1,1,1,1
1,1,1,1
1,1,2,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
2,2,1,1
1,1,1,1
1,1,1,1
2,1,1,1
1,1,1,1
1,2,1,2
1,3,1,1
1,1,1,1
2,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,2,1
2,1,1,2
1,2,1,1
2,1,1,1
1,3,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0,1,1,1
1,1,1,1
1,1,1,2
1,0,2,2
2,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,2,1
1,1,1,1
1,1,1,0
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
2,1,1,1
1,1,1,1
1,2,1,1
1,2,1,1
2,2,1,1
2,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
2,1,1,2
1,1,1,1
1,1,1,4
1,2,1,1
2,1,1,4
1,1,1,1
2,2,1,1
1,2,1,1
1,1,2,1
3,1,1,2
1,2,1,1
1,1,2,1
2,2,1,1
1,1,1,1
2,2,1,1
1,1,1,1
1,1,1,1
1,3,1,2
0,1,1,2
1,3,2,1
2,1,1,1
2,2,1,1
1,1,1,1
1,1,2,1
1,1,2,0
1,1,1,1
1,2,2,1
1,1,1,1
1,3,1,1
1,1,1,1
1,1,2,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
2,2,1,1
1,1,1,1
1,1,1,1
2,2,1,2
1,1,3,1
1,0,2,0
1,1,1,1
1,1,2,1
1,1,1,1
2,1,1,1
1,1,2,0
1,2,1,1
1,1,1,3
2,1,1,1
1,3,1,1
1,1,1,1
2,1,1,1
2,1,1,1
1,1,1,1
1,1,1,1
1,1,2,1
2,2,1,1
0,1,2,1
2,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
2,1,1,1
2,1,1,0
2,1,1,2
1,1,1,2
1,1,1,4
1,1,1,1
1,1,1,1
2,3,1,1
1,2,1,1
1,2,1,1
1,1,2,2
1,1,1,2
2,1,1,1
2,2,1,1
1,4,1,1
1,2,1,1
1,2,1,1
1,0,1,1
1,3,1,2
1,1,1,1
1,2,1,1
1,3,1,1
1,1,1,1
1,1,2,1
1,1,1,1
1,1,1,1
2,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
2,2,1,1
1,1,1,2
1,2,1,1
1,1,1,2
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,3
2,1,1,1
1,1,1,1
2,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
2,0,1,1
1,1,1,1
1,0,1,2
1,1,1,1
2,1,1,1
2,1,1,1
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,2
1,1,1,1
1,3,1,1
1,1,1,1
2,1,1,1
1,1,1,2
2,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,0,1,1
1,1,1,1
1,1,1,1
1,2,1,1
2,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,2,1
1,2,1,1
3,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,3
1,1,2,1
1,2,1,1
1,1,2,2
2,1,1,1
2,2,1,1
2,1,1,1
1,2,1,2
2,0,1,1
2,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,2,1
1,1,1,1
2,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
2,1,1,1
1,2,1,1
1,1,1,1
1,3,1,1
1,3,1,1
1,2,1,1
1,1,1,1
1,1,1,2
1,1,1,1
1,2,1,1
1,1,1,1
1,1,2,1
1,1,1,1
1,1,1,2
1,1,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,2,1
1,2,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,1,1,1
2,1,1,1
1,1,1,2
1,1,1,1
1,2,1,1
1,2,1,1
1,0,2,1
1,2,1,1
2,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,2
1,2,1,1
3,1,1,1
1,2,1,1
1,1,2,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
2,2,1,1
1,1,1,1
1,3,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,2
1,1,1,2
1,1,1,2
1,1,1,1
2,1,1,1
2,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,0,2,0
1,2,1,1
1,1,1,1
2,2,1,1
1,1,1,2
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
2,1,1,1
1,1,1,1
2,1,1,1
1,3,1,1
1,2,1,1
1,1,1,1
1,2,1,1
2,1,1,1
1,1,1,1
1,1,1,2
1,1,1,1
1,1,1,1
1,1,3,1
1,1,0,2
1,1,1,1
1,1,2,1
0,1,1,1
1,1,1,1
2,1,1,1
1,1,1,1
1,2,1,1
1,2,1,1
2,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,2,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
2,1,1,1
1,1,1,1
1,1,1,1
1,1,2,1
1,2,1,1
1,1,2,1
1,2,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,1,2,0
1,1,1,1
2,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,2,1
1,1,1,1
1,3,1,0
1,2,1,1
1,2,1,1
1,1,1,1
2,1,1,1
1,1,1,1
2,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,0
1,1,1,1
2,2,1,1
1,3,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,2,1
1,3,1,1
1,0,2,1
1,2,2,1
1,1,1,1
1,1,1,1
1,3,1,1
1,1,1,1
1,1,2,1
1,1,1,1
1,1,1,1
1,1,1,1
2,2,0,8
1,2,1,2
0,1,2,0
1,1,1,1
2,2,1,1
1,2,1,1
2,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,0,1,1
1,1,1,1
1,1,1,3
1,1,1,1
1,1,1,1
2,2,1,1
1,1,1,1
1,1,1,3
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
2,1,1,1
1,3,1,1
2,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,2,1
1,2,1,1
2,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
3,1,1,1
1,1,1,1
1,2,1,2
1,1,1,1
1,1,1,1
2,1,1,2
2,2,1,1
1,1,2,1
1,1,1,1
1,1,1,1
1,1,1,2
1,1,1,1
1,2,1,1
1,1,1,1
2,1,1,1
2,1,1,1
2,0,1,1
2,2,1,1
2,1,1,0
1,3,1,1
1,1,1,1
0,4,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,2
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,1,1,2
1,1,1,1
1,1,1,1
1,1,1,2
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,1,1,1
1,2,1,1
1,1,1,2
1,1,1,1
2,2,0,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,2
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,2,1,1
1,1,2,1
1,1,1,1
1,2,1,1
1,1,1,2
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
2,1,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
2,0,1,1
1,1,1,2
1,1,1,2
1,1,1,2
1,1,2,1
1,1,1,1
2,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,1,1,1
1,0,1,1
1,1,1,1
2,1,1,1
1,1,1,1
1,1,1,2
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,3,1,1
1,1,1,1
1,2,0,1
1,1,1,1
1,1,1,1
1,2,1,0
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
2,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
2,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,0,1,1
1,1,1,1
1,1,1,1
1,1,2,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,1,1,1
1,1,1,2
1,1,1,1
2,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,2
1,1,1,2
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,1,0,1
1,0,1,1
1,1,1,2
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,2,1,1
1,1,1,1
1,1,1,2
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,2
1,1,1,1
1,2,1,1
1,1,1,1
1,1,2,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
2,1,1,1
1,2,1,1
1,2,1,1
2,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
2,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,2,1,1
1,1,1,1
1,1,1,1
1,1,2,1
