dmoj,dgri,dwil,dmel,dpse,dsim,dyak,dana
1,1,1,2,3,4,3,3
1,4,0,3,2,3,3,2
3,3,3,1,3,1,3,3
1,1,2,2,6,2,2,3
1,3,5,2,2,1,2,3
4,3,2,2,2,2,2,1
1,6,2,0,2,2,3,1
4,2,2,2,3,2,2,2
3,3,2,2,3,0,2,1
3,3,3,1,2,1,3,2
4,2,2,2,2,3,2,3
2,2,2,2,2,2,2,2
2,4,2,3,3,1,2,2
2,2,1,2,3,2,2,2
2,2,2,2,2,4,2,2
2,3,3,2,3,3,2,2
4,2,2,2,2,2,3,2
2,3,2,3,2,1,3,2
2,2,2,2,2,3,2,2
1,1,3,1,4,2,2,2
3,3,2,2,2,2,2,2
3,3,2,2,2,2,3,2
0,1,2,3,2,2,4,3
3,0,0,1,3,3,4,2
2,5,2,2,3,2,2,1
3,3,3,1,5,1,1,1
4,2,2,2,2,2,2,2
3,5,1,2,1,3,2,1
4,1,1,2,2,2,2,2
3,3,4,0,2,0,3,2
2,4,2,2,2,2,2,2
2,2,2,1,4,3,2,1
2,4,2,2,1,2,3,2
2,3,2,2,2,3,2,2
2,2,2,2,3,2,2,2
1,1,1,4,2,3,4,2
2,1,3,2,2,2,2,3
1,1,1,1,1,2,1,2
3,2,2,2,2,2,2,2
2,2,2,2,2,2,3,2
3,1,1,1,1,3,4,2
2,3,3,2,2,2,2,2
2,4,2,2,2,1,2,2
3,3,3,1,3,1,1,3
2,2,1,2,3,1,2,2
2,3,2,2,2,2,2,3
2,2,2,2,2,2,2,2
1,2,1,2,2,3,2,3
1,1,5,2,2,2,2,4
2,2,3,2,2,2,2,1
2,2,3,2,2,2,2,2
2,2,2,1,3,1,2,2
2,2,2,1,4,2,2,2
2,3,1,2,2,2,2,3
1,1,1,2,7,1,1,1
2,3,2,2,2,2,2,2
1,2,2,2,1,4,4,2
2,2,2,2,2,1,3,3
2,2,2,2,2,2,2,2
1,2,2,2,1,2,4,3
1,1,1,3,2,3,3,2
2,2,2,2,2,2,2,2
3,2,2,2,2,2,2,2
2,2,2,2,2,1,2,3
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2
2,2,3,2,2,2,2,2
2,2,2,2,3,1,2,2
1,3,2,3,1,2,3,3
2,2,2,2,2,2,2,2
4,5,1,1,2,1,1,1
2,3,2,2,2,2,2,2
2,3,2,2,2,2,2,2
1,1,1,3,1,3,6,2
2,2,3,2,2,2,2,2
2,2,2,2,3,2,1,2
2,2,3,2,2,2,2,2
2,2,1,3,2,2,3,2
1,1,2,3,3,2,2,3
2,3,2,1,3,2,3,2
