iteration,chain,λ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,0.1976330669974848,-29452.94944108297,1.0,1.0,1.0,-29452.94944108297,29452.994070698656,-0.05071707987735863,-0.05071707987735863,1.0,0.0,1.5142503777074838,1.5142503777074838
502,1,0.1976330669974848,-29452.94944108297,1.0,1.0,0.5217685238575992,-29452.94944108297,29453.514227797055,0.0,0.6505312303343089,1.0,0.0,1.5142503777074838,1.5142503777074838
503,1,0.19804541562065628,-29452.967841177124,3.0,1.0,0.9928272162323878,-29452.967841177124,29452.96868946892,0.009931798449542839,0.010657429087586934,2.0,0.0,1.5142503777074838,1.5142503777074838
504,1,0.19804541562065628,-29452.967841177124,1.0,1.0,0.1920361802517057,-29452.967841177124,29454.381679494996,0.0,1.6500714858957508,1.0,0.0,1.5142503777074838,1.5142503777074838
505,1,0.19655079445027576,-29453.011652953737,3.0,1.0,0.8510161631114318,-29453.011652953737,29453.205589485176,0.0253263370032073,0.24315617202228168,2.0,0.0,1.5142503777074838,1.5142503777074838
506,1,0.19655079445027576,-29453.011652953737,1.0,1.0,0.2415055860064826,-29453.011652953737,29454.32255434468,0.0,1.420862675695389,1.0,0.0,1.5142503777074838,1.5142503777074838
507,1,0.19939198759819285,-29453.18811689786,3.0,1.0,0.3904676361302042,-29453.18811689786,29454.954467364812,0.06711847333644982,2.232931047332386,2.0,0.0,1.5142503777074838,1.5142503777074838
508,1,0.20445881276298117,-29456.16296483087,1.0,1.0,0.19537560002471813,-29456.16296483087,29456.364010513946,1.6328314191014215,1.6328314191014215,1.0,0.0,1.5142503777074838,1.5142503777074838
509,1,0.19182646945173604,-29455.199466363483,3.0,1.0,0.41829164632637,-29455.199466363483,29458.413527095257,-0.3467315282578056,2.448630794424389,2.0,0.0,1.5142503777074838,1.5142503777074838
510,1,0.1917358693853705,-29455.272547475564,3.0,1.0,0.9876019676939031,-29455.272547475564,29455.91141396574,0.03790344193112105,-0.3658112148332293,2.0,0.0,1.5142503777074838,1.5142503777074838
511,1,0.19337648195893958,-29454.132691027542,3.0,1.0,1.0,-29454.132691027542,29454.932097380817,-0.5949876389313431,-0.8845984011677501,2.0,0.0,1.5142503777074838,1.5142503777074838
512,1,0.19385692035486773,-29453.87189608239,1.0,1.0,1.0,-29453.87189608239,29454.494089989974,-0.13808320753014414,-0.13808320753014414,1.0,0.0,1.5142503777074838,1.5142503777074838
513,1,0.1944011478506533,-29453.616040582496,1.0,1.0,1.0,-29453.616040582496,29454.09983110017,-0.1357926763521391,-0.1357926763521391,1.0,0.0,1.5142503777074838,1.5142503777074838
514,1,0.2003505549100579,-29453.492941862154,3.0,1.0,1.0,-29453.492941862154,29453.639355035935,-0.06710563669548719,-0.22758423141567619,2.0,0.0,1.5142503777074838,1.5142503777074838
515,1,0.19952478597608603,-29453.223038997592,1.0,1.0,1.0,-29453.223038997592,29453.505039556072,-0.14708686997255427,-0.14708686997255427,1.0,0.0,1.5142503777074838,1.5142503777074838
516,1,0.1978826122297214,-29452.957814107005,1.0,1.0,1.0,-29452.957814107005,29453.088521080685,-0.14364278717403067,-0.14364278717403067,1.0,0.0,1.5142503777074838,1.5142503777074838
517,1,0.19943852623148414,-29453.20008682146,1.0,1.0,0.8770484544972693,-29453.20008682146,29453.208958649026,0.13119303785424563,0.13119303785424563,1.0,0.0,1.5142503777074838,1.5142503777074838
518,1,0.1999421475827052,-29453.34811655503,1.0,1.0,0.9225764399105096,-29453.34811655503,29453.49043979935,0.08058504480868578,0.08058504480868578,1.0,0.0,1.5142503777074838,1.5142503777074838
519,1,0.20363270427322347,-29455.451045847116,3.0,1.0,0.5596523389181018,-29455.451045847116,29455.4903778405,1.1578896409409936,1.1578896409409936,2.0,0.0,1.5142503777074838,1.5142503777074838
520,1,0.1900598318530612,-29456.840774057804,3.0,1.0,0.31224690834019414,-29456.840774057804,29458.643621260562,0.8728674669073371,1.7418436673433462,2.0,0.0,1.5142503777074838,1.5142503777074838
521,1,0.19550302187321622,-29453.225731656126,1.0,1.0,1.0,-29453.225731656126,29455.12353288093,-1.910608277470601,-1.910608277470601,1.0,0.0,1.5142503777074838,1.5142503777074838
522,1,0.19801311525788806,-29452.965565569328,3.0,1.0,0.41651746041969523,-29452.965565569328,29454.905001890846,-0.1684024246314948,2.1141615252781776,2.0,0.0,1.5142503777074838,1.5142503777074838
523,1,0.19957956403662902,-29453.238130619484,1.0,1.0,0.8626925358340979,-29453.238130619484,29453.252420319313,0.1476969250361435,0.1476969250361435,1.0,0.0,1.5142503777074838,1.5142503777074838
524,1,0.202372198303145,-29454.533360196616,3.0,1.0,0.6771860318008223,-29454.533360196616,29454.565732410203,0.7106159407667292,0.7106159407667292,2.0,0.0,1.5142503777074838,1.5142503777074838
525,1,0.19730698795393928,-29452.951295781433,1.0,1.0,1.0,-29452.951295781433,29453.67617043851,-0.8588254294736544,-0.8588254294736544,1.0,0.0,1.5142503777074838,1.5142503777074838
526,1,0.20116909934909463,-29453.849621895897,1.0,1.0,0.6146502434096681,-29453.849621895897,29453.850010052844,0.4867018828554137,0.4867018828554137,1.0,0.0,1.5142503777074838,1.5142503777074838
527,1,0.19433515135686996,-29453.6448356487,3.0,1.0,1.0,-29453.6448356487,29453.96936732831,-0.10447124775964767,-0.1545713903324213,2.0,0.0,1.5142503777074838,1.5142503777074838
528,1,0.201082334479147,-29453.807632054,3.0,1.0,0.9725634144896554,-29453.807632054,29453.936249345952,0.08589537071748055,-0.17533672585705062,2.0,0.0,1.5142503777074838,1.5142503777074838
