iteration,chain,μ,α,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size,λ
501,1,1.7531012124967562,0.9910455851847297,-1968.2252086619442,7.0,1.0,0.9983514335396441,-1968.2252086619442,1968.259065608867,0.011607067358227141,-0.09796695511022335,3.0,0.0,0.8395306309269774,0.8395306309269774,0.015697995469849214
502,1,1.7531012124967562,0.9910455851847297,-1968.2252086619442,3.0,1.0,0.3322578687360948,-1968.2252086619442,1971.543258232325,0.0,1.7188211313680313,1.0,0.0,0.8395306309269774,0.8395306309269774,0.015697995469849214
503,1,1.77526186600459,0.9898927864964523,-1968.4214724560848,3.0,1.0,0.8071024288885402,-1968.4214724560848,1969.492306428077,0.20940479286514346,0.39290132432415703,1.0,0.0,0.8395306309269774,0.8395306309269774,0.017942950704414894
504,1,1.77526186600459,0.9898927864964523,-1968.4214724560848,3.0,1.0,0.5813200534835509,-1968.4214724560848,1970.3034812574622,0.0,0.7714804851393637,1.0,0.0,0.8395306309269774,0.8395306309269774,0.017942950704414894
505,1,1.6354849854748759,0.9902499581123563,-1967.4597470406004,3.0,1.0,0.9405956361735458,-1967.4597470406004,1968.4566222862302,-0.34438228549197447,-0.34438228549197447,2.0,0.0,0.8395306309269774,0.8395306309269774,0.015946047114992427
506,1,1.6354849854748759,0.9902499581123563,-1967.4597470406004,3.0,1.0,0.6312041794412323,-1967.4597470406004,1968.8091883783866,0.0,0.7082536821815211,1.0,0.0,0.8395306309269774,0.8395306309269774,0.015946047114992427
507,1,1.6354849854748759,0.9902499581123563,-1967.4597470406004,3.0,1.0,0.16509986630267323,-1967.4597470406004,1973.8725740794507,0.0,3.0676333448695914,2.0,0.0,0.8395306309269774,0.8395306309269774,0.015946047114992427
508,1,1.7224969318228363,0.9900689180264935,-1967.7121363496426,3.0,1.0,0.9114411408974198,-1967.7121363496426,1967.8028166389813,0.08591614234160261,0.12476387280730705,2.0,0.0,0.8395306309269774,0.8395306309269774,0.017106258229045938
509,1,1.5900586442369522,0.9901467574860063,-1967.6246214463702,3.0,1.0,1.0,-1967.6246214463702,1967.6903258378636,-0.035119687471478755,-0.0874483588268049,2.0,0.0,0.8395306309269774,0.8395306309269774,0.015667233433138666
510,1,1.6859633458048209,0.9903363702644695,-1967.4759584310507,7.0,1.0,0.9839484139915694,-1967.4759584310507,1967.8786089351509,-0.05901193942008831,0.07425805331695301,3.0,0.0,0.8395306309269774,0.8395306309269774,0.01629252552153392
