iteration,chain,λ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,0.040074062015313605,-11732.196141910832,3.0,1.0,0.9303252560887069,-11732.196141910832,11733.802528400605,-0.49275174142712785,-0.49275174142712785,2.0,0.0,1.3073067369991633,1.3073067369991633
502,1,0.040185893557506985,-11732.306648410487,3.0,1.0,0.7861588450277451,-11732.306648410487,11733.221105883747,0.04247847088845447,0.3826071477451478,2.0,0.0,1.3073067369991633,1.3073067369991633
503,1,0.040185893557506985,-11732.306648410487,1.0,1.0,0.5318070187798032,-11732.306648410487,11733.330226212227,0.0,0.6314746021034807,1.0,0.0,1.3073067369991633,1.3073067369991633
504,1,0.040185893557506985,-11732.306648410487,1.0,1.0,0.34717582646222195,-11732.306648410487,11733.938382300206,0.0,1.0579239228645747,1.0,0.0,1.3073067369991633,1.3073067369991633
505,1,0.04097134518173101,-11733.57553704188,1.0,1.0,0.6026665902025451,-11733.57553704188,11733.659930964388,0.506391153574441,0.506391153574441,1.0,0.0,1.3073067369991633,1.3073067369991633
506,1,0.03842478598106864,-11732.688590812446,3.0,1.0,1.0,-11732.688590812446,11733.52867046549,-0.3374435540717968,-0.5781896704484097,2.0,0.0,1.3073067369991633,1.3073067369991633
507,1,0.03943687651371561,-11731.90906698437,3.0,1.0,0.6638030857796893,-11731.90906698437,11734.111010930623,-0.32286360470970976,0.9756034800666384,2.0,0.0,1.3073067369991633,1.3073067369991633
508,1,0.03943687651371561,-11731.90906698437,3.0,1.0,0.5833872883494866,-11731.90906698437,11733.272829188709,0.0,0.8439577818116959,1.0,0.0,1.3073067369991633,1.3073067369991633
509,1,0.03883244485294924,-11732.188232969349,3.0,1.0,0.9245452455026116,-11732.188232969349,11732.196419415248,0.10826109645313409,0.10872277549970022,1.0,0.0,1.3073067369991633,1.3073067369991633
510,1,0.03838430939503914,-11732.752249026056,1.0,1.0,0.8062725657073223,-11732.752249026056,11732.816516947649,0.21533342278962664,0.21533342278962664,1.0,0.0,1.3073067369991633,1.3073067369991633
511,1,0.040741330814385635,-11733.115637531733,3.0,1.0,0.9551407022354601,-11733.115637531733,11733.132885329653,0.14453790644438413,-0.32799995204732113,2.0,0.0,1.3073067369991633,1.3073067369991633
512,1,0.041092886262362946,-11733.847637073462,1.0,1.0,0.7446727698648128,-11733.847637073462,11734.266330686361,0.29481039217535,0.29481039217535,1.0,0.0,1.3073067369991633,1.3073067369991633
513,1,0.03946313336437433,-11731.90923836081,3.0,1.0,1.0,-11731.90923836081,11733.132549325877,-0.7620638699208939,-0.7620638699208939,1.0,0.0,1.3073067369991633,1.3073067369991633
514,1,0.03903462779404668,-11732.033997199638,3.0,1.0,0.9572733816001221,-11732.033997199638,11732.074427431698,0.04866319355278392,0.07217342967123841,2.0,0.0,1.3073067369991633,1.3073067369991633
515,1,0.04021104706122692,-11732.333944230044,3.0,1.0,0.9160501860795818,-11732.333944230044,11732.529496615238,0.11377046203961072,0.13591218358124024,2.0,0.0,1.3073067369991633,1.3073067369991633
516,1,0.04021240000258343,-11732.335437739488,1.0,1.0,0.9994082422362774,-11732.335437739488,11732.502691546762,0.0005919329214520985,0.0005919329214520985,1.0,0.0,1.3073067369991633,1.3073067369991633
517,1,0.03818957978457319,-11733.094204114443,3.0,1.0,0.853026999839436,-11733.094204114443,11733.409744647093,0.30324468503386015,0.30324468503386015,2.0,0.0,1.3073067369991633,1.3073067369991633
518,1,0.03818957978457319,-11733.094204114443,1.0,1.0,0.35202466271557137,-11733.094204114443,11735.080031887574,0.0,1.0440540413055714,1.0,0.0,1.3073067369991633,1.3073067369991633
519,1,0.039604375530786565,-11731.927494408228,3.0,1.0,0.6942179383832195,-11731.927494408228,11734.511807745093,-0.48439149830483075,0.9900321102450107,2.0,0.0,1.3073067369991633,1.3073067369991633
520,1,0.03970895568231468,-11731.959759302583,3.0,1.0,0.9727871579831014,-11731.959759302583,11732.037033893977,0.012521013457444496,0.042951773621098255,2.0,0.0,1.3073067369991633,1.3073067369991633
521,1,0.03970767782875607,-11731.95926920494,1.0,1.0,1.0,-11731.95926920494,11731.979158538119,-0.00019196314678993076,-0.00019196314678993076,1.0,0.0,1.3073067369991633,1.3073067369991633
522,1,0.0403267393145972,-11732.47098075161,3.0,1.0,0.7651041852071101,-11732.47098075161,11732.976460273045,0.1972726900712587,0.4318124944657029,2.0,0.0,1.3073067369991633,1.3073067369991633
523,1,0.03957534001751035,-11731.921360087088,3.0,1.0,0.9459551647318692,-11731.921360087088,11732.611034886379,-0.2122271429088869,-0.2122271429088869,2.0,0.0,1.3073067369991633,1.3073067369991633
524,1,0.039826168038184506,-11732.014760566071,1.0,1.0,0.9641106792979424,-11732.014760566071,11732.01580304823,0.036549178412315086,0.036549178412315086,1.0,0.0,1.3073067369991633,1.3073067369991633
