iteration,chain,λ,μ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,0.022821252348589713,0.0566083548364462,-11474.252285245717,3.0,1.0,0.8664629450422514,-11474.252285245717,11474.563992803187,0.2951886603696039,0.2951886603696039,2.0,0.0,1.3841012002538913,1.3841012002538913
502,1,0.020685202383373232,0.06177570968581368,-11474.852761247968,3.0,1.0,0.930644812611055,-11474.852761247968,11475.168746470174,0.23327667110788752,-0.5619532432920096,2.0,0.0,1.3841012002538913,1.3841012002538913
503,1,0.021325412835211673,0.056880355070295714,-11473.122388344682,3.0,1.0,0.882525690111129,-11473.122388344682,11476.162156021264,-0.6551302756543009,-0.6551302756543009,2.0,0.0,1.3841012002538913,1.3841012002538913
504,1,0.021737818211507776,0.05808941002032438,-11472.288402135648,3.0,1.0,0.47670616097653595,-11472.288402135648,11476.186022872993,-0.3487754769575986,1.936830782189645,2.0,0.0,1.3841012002538913,1.3841012002538913
505,1,0.020030838440947125,0.057889236488753645,-11474.24356745509,3.0,1.0,0.48703633160429316,-11474.24356745509,11475.61543644623,0.7300857105747127,1.399411240403424,2.0,0.0,1.3841012002538913,1.3841012002538913
506,1,0.02150193140398702,0.0566947932062129,-11473.249047994474,3.0,1.0,1.0,-11473.249047994474,11474.546811876535,-0.3313343629160954,-0.3313343629160954,2.0,0.0,1.3841012002538913,1.3841012002538913
507,1,0.021871913887111863,0.06127618144963631,-11473.619911341111,3.0,1.0,0.9536321583001649,-11473.619911341111,11473.627782190735,0.14978101999440696,-0.4101234844947612,2.0,0.0,1.3841012002538913,1.3841012002538913
508,1,0.02226693808205871,0.059572008912205196,-11472.568785128542,3.0,1.0,1.0,-11472.568785128542,11473.353078012886,-0.42275327752031444,-0.42275327752031444,2.0,0.0,1.3841012002538913,1.3841012002538913
509,1,0.020753178057467552,0.05853788253187997,-11472.739157576358,3.0,1.0,0.976359209212997,-11472.739157576358,11472.832009552174,0.05843718216237903,-0.074911349627655,2.0,0.0,1.3841012002538913,1.3841012002538913
510,1,0.022869101765089998,0.059553850909686824,-11473.2978700862,3.0,1.0,0.9378881586179085,-11473.2978700862,11473.466308239866,0.20620718977988872,0.20620718977988872,2.0,0.0,1.3841012002538913,1.3841012002538913
511,1,0.02262526895682015,0.0582005428803238,-11472.894185200768,3.0,1.0,1.0,-11472.894185200768,11473.4402223384,-0.15251822544814786,-0.2958181580706878,2.0,0.0,1.3841012002538913,1.3841012002538913
512,1,0.020840323297273214,0.058205218652440646,-11472.700911796,3.0,1.0,0.8286001113894755,-11472.700911796,11473.651487345078,-0.07286348956586153,0.30986831472910126,2.0,0.0,1.3841012002538913,1.3841012002538913
513,1,0.022602078494184847,0.058323477542511284,-11472.833027785466,3.0,1.0,0.9812095693935351,-11472.833027785466,11473.02994766691,0.04945871551899472,-0.06995520977579872,2.0,0.0,1.3841012002538913,1.3841012002538913
514,1,0.020591586383768724,0.05812547604093326,-11473.056883957735,3.0,1.0,0.8355575296326002,-11473.056883957735,11473.81872423848,0.07889474093644822,0.2780422850410105,2.0,0.0,1.3841012002538913,1.3841012002538913
515,1,0.019339230847385952,0.05908966934136924,-11476.116012230055,1.0,1.0,0.3599380788113784,-11476.116012230055,11476.245378830516,1.0218232656279724,1.0218232656279724,1.0,0.0,1.3841012002538913,1.3841012002538913
516,1,0.02058361072232194,0.05827157676743311,-11473.02721593519,1.0,1.0,1.0,-11473.02721593519,11475.18390538077,-1.0336851392567041,-1.0336851392567041,1.0,0.0,1.3841012002538913,1.3841012002538913
517,1,0.02229524566008576,0.06016562042136986,-11472.889723692164,3.0,1.0,0.9067470505497156,-11472.889723692164,11473.725594161235,-0.05185813111165771,0.18629604398483934,2.0,0.0,1.3841012002538913,1.3841012002538913
518,1,0.021155383343553637,0.05704406352864282,-11473.071542536873,3.0,1.0,0.976438502325239,-11473.071542536873,11473.19135551488,0.07330697783072537,-0.1962169576818269,2.0,0.0,1.3841012002538913,1.3841012002538913
519,1,0.019925712032810194,0.05894836473949006,-11474.311992025192,3.0,1.0,0.7452614486536797,-11474.311992025192,11474.817511037967,0.4014330388545204,0.4014330388545204,2.0,0.0,1.3841012002538913,1.3841012002538913
520,1,0.023226831363443147,0.05827472175051516,-11473.879324161071,3.0,1.0,1.0,-11473.879324161071,11474.284984173155,-0.13796683734108228,-0.6380599349977274,2.0,0.0,1.3841012002538913,1.3841012002538913
521,1,0.023226831363443147,0.05827472175051516,-11473.879324161071,1.0,1.0,0.659555205097996,-11473.879324161071,11475.158638548239,0.0,0.41618960282539774,1.0,0.0,1.3841012002538913,1.3841012002538913
522,1,0.023226831363443147,0.05827472175051516,-11473.879324161071,1.0,1.0,0.2266508302885936,-11473.879324161071,11476.536090392663,0.0,1.484344638294715,1.0,0.0,1.3841012002538913,1.3841012002538913
523,1,0.020925478588446948,0.0596347481304204,-11472.691142354011,3.0,1.0,0.9704427012069012,-11472.691142354011,11474.317330159414,-0.3894150892156176,-0.3894150892156176,2.0,0.0,1.3841012002538913,1.3841012002538913
524,1,0.02209686917858128,0.05741195965917143,-11472.764575037443,3.0,1.0,0.9888918334996578,-11472.764575037443,11472.91317234609,0.03389241327022319,-0.06846065220997843,2.0,0.0,1.3841012002538913,1.3841012002538913
525,1,0.021506436019120636,0.05984219803200605,-11472.433320569082,3.0,1.0,1.0,-11472.433320569082,11472.777834521929,-0.12386289888854662,-0.19509611074317945,2.0,0.0,1.3841012002538913,1.3841012002538913
526,1,0.021799801918961095,0.057993969557513125,-11472.333686015314,3.0,1.0,1.0,-11472.333686015314,11472.410568746734,-0.03872296942972753,-0.10096383750897076,2.0,0.0,1.3841012002538913,1.3841012002538913
527,1,0.022820420443150132,0.06076546767137783,-11473.985869288877,3.0,1.0,0.285113448776587,-11473.985869288877,11477.983501468272,0.5281021333685203,2.868375878988445,2.0,0.0,1.3841012002538913,1.3841012002538913
528,1,0.021424353601219588,0.05935101440345688,-11472.269187703396,3.0,1.0,0.8395447500911217,-11472.269187703396,11474.699932009527,-0.6243128948572121,0.6565563643380301,2.0,0.0,1.3841012002538913,1.3841012002538913
529,1,0.021012244725124748,0.05981862997373596,-11472.688117887546,1.0,1.0,0.8561795368238067,-11472.688117887546,11472.705547752294,0.1552751855524548,0.1552751855524548,1.0,0.0,1.3841012002538913,1.3841012002538913
530,1,0.021012244725124748,0.05981862997373596,-11472.688117887546,3.0,1.0,0.36739172514237484,-11472.688117887546,11477.149403264699,0.0,1.9807052842934354,2.0,0.0,1.3841012002538913,1.3841012002538913
531,1,0.021012244725124748,0.05981862997373596,-11472.688117887546,1.0,1.0,0.9589596569852877,-11472.688117887546,11472.967138000853,0.0,0.04190627277785097,1.0,0.0,1.3841012002538913,1.3841012002538913
532,1,0.022437042370888064,0.058654850200251504,-11472.59270334813,3.0,1.0,0.8685400257428032,-11472.59270334813,11473.264788483788,-0.033742090436135186,0.22082648093783064,2.0,0.0,1.3841012002538913,1.3841012002538913
533,1,0.022708516921927983,0.06108804238392498,-11474.136016468898,3.0,1.0,0.7336113843472191,-11474.136016468898,11474.318315274897,0.5959009833695745,0.5959009833695745,2.0,0.0,1.3841012002538913,1.3841012002538913
534,1,0.020565607708843508,0.057318778997380894,-11473.51623163552,3.0,1.0,1.0,-11473.51623163552,11474.221455716372,-0.23904976901758346,-0.4584031134018005,2.0,0.0,1.3841012002538913,1.3841012002538913
535,1,0.02128541522346251,0.05848393926450718,-11472.27502383211,3.0,1.0,1.0,-11472.27502383211,11473.064396245387,-0.45267113233967393,-0.45952199551175,2.0,0.0,1.3841012002538913,1.3841012002538913
536,1,0.0223383141810985,0.061180678215655857,-11473.803911617335,3.0,1.0,0.672316626505533,-11473.803911617335,11474.042836708895,0.5840333538035338,0.6989327746196068,1.0,0.0,1.3841012002538913,1.3841012002538913
537,1,0.02058970669427875,0.05868069407599849,-11472.955436309121,3.0,1.0,0.945848872543146,-11472.955436309121,11474.286918518474,-0.3320057765013189,-0.3320057765013189,2.0,0.0,1.3841012002538913,1.3841012002538913
538,1,0.02058970669427875,0.05868069407599849,-11472.955436309121,1.0,1.0,0.3355034142775849,-11472.955436309121,11475.087875066341,0.0,1.092123145937876,1.0,0.0,1.3841012002538913,1.3841012002538913
539,1,0.02100949316628558,0.05740591164718835,-11472.910115499704,3.0,1.0,0.999635768585113,-11472.910115499704,11473.298784630022,0.0010932916702586226,-0.13208688226586673,2.0,0.0,1.3841012002538913,1.3841012002538913
540,1,0.020810473045206546,0.05824638834474472,-11472.724601063019,3.0,1.0,1.0,-11472.724601063019,11473.050330384527,-0.07754830127487367,-0.22605462656611053,2.0,0.0,1.3841012002538913,1.3841012002538913
541,1,0.021552146610073666,0.059473680334518234,-11472.27739603624,3.0,1.0,0.8709801478814514,-11472.27739603624,11473.392204837657,-0.1708212752455438,0.3676718272763537,2.0,0.0,1.3841012002538913,1.3841012002538913
542,1,0.021152859719985463,0.059233909497455134,-11472.376431746017,3.0,1.0,0.6345780553044391,-11472.376431746017,11473.743411634116,0.03878011151391547,0.8783006857647706,2.0,0.0,1.3841012002538913,1.3841012002538913
543,1,0.022044238603024274,0.06051592264456318,-11472.962206536931,3.0,1.0,0.7413909173156582,-11472.962206536931,11473.608128171296,0.22471109382422583,0.4829272830284026,2.0,0.0,1.3841012002538913,1.3841012002538913
544,1,0.021528036150343148,0.060497670290689406,-11472.847352782126,3.0,1.0,0.6430838780547877,-11472.847352782126,11475.039070653085,-0.04172664528232417,0.7963787077460438,2.0,0.0,1.3841012002538913,1.3841012002538913
545,1,0.021428838008086898,0.05769013282784177,-11472.48807212419,3.0,1.0,1.0,-11472.48807212419,11472.986667486113,-0.13645954892854206,-0.16573505770975316,2.0,0.0,1.3841012002538913,1.3841012002538913
546,1,0.022588101131006524,0.06018306211657552,-11473.211602114017,3.0,1.0,0.6731924934911753,-11473.211602114017,11473.87921920328,0.2501404805607308,0.5439313514216337,2.0,0.0,1.3841012002538913,1.3841012002538913
547,1,0.022655922769795153,0.05985700019559821,-11473.113737115164,1.0,1.0,1.0,-11473.113737115164,11473.525952779386,-0.03994082686585898,-0.03994082686585898,1.0,0.0,1.3841012002538913,1.3841012002538913
548,1,0.020710903609737787,0.05740279518030276,-11473.246568888808,3.0,1.0,0.9839982602580731,-11473.246568888808,11473.33369583809,0.04919572658582183,-0.29652007169170247,2.0,0.0,1.3841012002538913,1.3841012002538913
549,1,0.021074503827829515,0.057727998298621366,-11472.66292662109,1.0,1.0,1.0,-11472.66292662109,11473.16418339813,-0.21021595772253932,-0.21021595772253932,1.0,0.0,1.3841012002538913,1.3841012002538913
550,1,0.022918563789625306,0.06085496554663365,-11474.225403463433,3.0,1.0,0.6627916297357507,-11474.225403463433,11475.189316266085,0.5517901889143104,0.6841168025821389,2.0,0.0,1.3841012002538913,1.3841012002538913
551,1,0.022166931048560202,0.06081197475574849,-11473.29307057031,1.0,1.0,1.0,-11473.29307057031,11474.262971646353,-0.35032895760923566,-0.35032895760923566,1.0,0.0,1.3841012002538913,1.3841012002538913
552,1,0.022166931048560202,0.06081197475574849,-11473.29307057031,1.0,1.0,0.47172474742982085,-11473.29307057031,11474.740665163501,0.0,0.7513596257267636,1.0,0.0,1.3841012002538913,1.3841012002538913
553,1,0.022542634023567907,0.059588410503212154,-11472.854461811829,3.0,1.0,1.0,-11472.854461811829,11473.395130583292,-0.18096249697009625,-0.341339893411714,2.0,0.0,1.3841012002538913,1.3841012002538913
554,1,0.022047566129479158,0.0575189214798349,-11472.666862318565,3.0,1.0,0.7376656817434872,-11472.666862318565,11474.3597826169,-0.05018209138324892,0.5478648617408908,2.0,0.0,1.3841012002538913,1.3841012002538913
555,1,0.022089377827338146,0.05783004808366686,-11472.522293565804,1.0,1.0,1.0,-11472.522293565804,11472.733945072527,-0.05518062794544676,-0.05518062794544676,1.0,0.0,1.3841012002538913,1.3841012002538913
556,1,0.02154820833706119,0.06119785052143536,-11473.503236620621,3.0,1.0,0.5540849553933952,-11473.503236620621,11475.008958849457,0.3440419577218563,1.0363519630573137,2.0,0.0,1.3841012002538913,1.3841012002538913
